mineral_id,price_rs_per_t,fet_pct,sio2_pct,al2o3_pct,min_trucks,max_trucks,eligible_sinter1,eligible_sinter2
M1,320,66,5.0,1.0,0,6,1,1
M2,280,64,3.0,3.0,0,8,1,1
M3,270,62,9.0,0.6,0,8,1,1
M4,190,58,8.0,2.8,2,12,1,1
M5,230,60,6.0,1.5,0,10,1,1
M6,300,63,5.5,1.2,0,8,1,1
M7,260,65,5.5,1.1,0,8,1,1
M8,240,61,6.2,1.6,0,8,1,0
M9,210,59,6.5,1.8,0,8,1,0
M10,180,57,7.0,2.5,2,10,1,0
M11,310,66,4.7,0.7,1,6,1,0
M12,200,60,5.8,1.4,0,8,1,0
M13,160,56,9.0,3.2,0,10,1,1
M14,150,56,6.0,1.3,0,6,1,1
M15,170,58,8.0,3.5,0,8,1,1
M16,220,59,6.0,1.5,0,8,0,1
M17,140,56,8.5,3.6,0,10,0,1
M18,260,62,5.0,1.0,0,8,0,1
M19,190,57,6.3,1.4,0,8,0,1
M20,130,56,3.8,3.8,1,8,0,1
